,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,208.00,2298.00,450.00,3199.00,162.00,1557.00,226.00,1109.00,64.00,2958.00,3868.00,1606.00,

 13:22:53
Interval Count,0.00,61.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,208.00,2359.00,450.00,3271.00,162.00,1557.00,226.00,1109.00,64.00,2959.00,3868.00,1606.00,

 13:23:23
Interval Count,0.00,19.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,
Total Counts,208.00,2378.00,450.00,3373.00,162.00,1557.00,226.00,1109.00,64.00,2959.00,3868.00,1652.00,

 13:23:53
Interval Count,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2378.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,64.00,2959.00,3868.00,1652.00,

 13:24:23
Interval Count,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2411.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,64.00,2959.00,3868.00,1652.00,

 13:24:53
Interval Count,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,208.00,2437.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,2959.00,3868.00,1652.00,

 13:25:23
Interval Count,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,
Total Counts,208.00,2468.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,2981.00,3868.00,1652.00,

 13:25:53
Interval Count,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2480.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,2981.00,3868.00,1652.00,

 13:26:23
Interval Count,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,
Total Counts,208.00,2500.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3051.00,3868.00,1652.00,

 13:26:53
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,
