,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 11:17:13
,     Stop Time: ~10/30/2017 12:17:13


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,907.00,102.00,458.00,61.00,515.00,310.00,748.00,227.00,542.00,57.00,794.00,30.00,

 12:03:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,907.00,102.00,458.00,61.00,515.00,310.00,748.00,227.00,542.00,58.00,794.00,30.00,

 12:04:15
Interval Count,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,907.00,102.00,458.00,61.00,585.00,310.00,748.00,227.00,542.00,58.00,794.00,30.00,

 12:04:45
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,908.00,102.00,458.00,61.00,585.00,310.00,748.00,227.00,542.00,58.00,794.00,30.00,

 12:05:15
Interval Count,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,930.00,102.00,458.00,61.00,585.00,310.00,748.00,227.00,547.00,58.00,794.00,30.00,

 12:05:45
Interval Count,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,38.00,0.00,0.00,0.00,
Total Counts,933.00,102.00,458.00,61.00,585.00,311.00,748.00,227.00,585.00,58.00,794.00,30.00,

 12:06:15
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,933.00,102.00,458.00,61.00,586.00,311.00,748.00,227.00,585.00,58.00,794.00,30.00,

 12:06:45
Interval Count,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,933.00,103.00,458.00,61.00,586.00,313.00,748.00,227.00,585.00,58.00,794.00,30.00,

 12:07:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
