,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 14:07:59
,     Stop Time: ~10/24/2017 15:07:59


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,81.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3116.00,77.00,1458.00,20.00,2238.00,53.00,1388.00,65.00,955.00,85.00,3954.00,

 14:37:00
Interval Count,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3135.00,77.00,1458.00,20.00,2238.00,53.00,1388.00,65.00,955.00,85.00,3954.00,

 14:37:30
Interval Count,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3135.00,77.00,1477.00,20.00,2238.00,53.00,1388.00,65.00,955.00,85.00,3954.00,

 14:38:00
Interval Count,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3135.00,77.00,1491.00,20.00,2238.00,53.00,1388.00,65.00,955.00,85.00,3954.00,

 14:38:30
Interval Count,0.00,101.00,0.00,12.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,50.00,
Total Counts,81.00,3236.00,77.00,1503.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:39:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3236.00,77.00,1503.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:39:30
Interval Count,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3236.00,77.00,1516.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:40:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3236.00,77.00,1516.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:40:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3236.00,77.00,1516.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:41:00
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3236.00,78.00,1516.00,20.00,2242.00,53.00,1388.00,65.00,955.00,85.00,4004.00,

 14:41:30
Interval Count,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,64.00,
Total Counts,81.00,3236.00,78.00,1516.00,20.00,2251.00,53.00,1388.00,65.00,955.00,85.00,4068.00,

 14:42:00
Interval Count,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,
Total Counts,81.00,3236.00,78.00,1523.00,20.00,2251.00,53.00,1388.00,65.00,955.00,85.00,4080.00,

 14:42:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,
Total Counts,81.00,3236.00,78.00,1523.00,20.00,2251.00,53.00,1388.00,65.00,955.00,85.00,4139.00,

 14:43:00
Interval Count,0.00,20.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,
Total Counts,81.00,3256.00,78.00,1528.00,20.00,2251.00,53.00,1388.00,65.00,955.00,85.00,4182.00,

 14:43:31
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,
Total Counts,81.00,3256.00,78.00,1528.00,20.00,2251.00,53.00,1388.00,65.00,955.00,85.00,4289.00,

 14:44:01
Interval Count,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,74.00,
Total Counts,81.00,3256.00,78.00,1534.00,20.00,2251.00,53.00,1388.00,65.00,1074.00,85.00,4363.00,

 14:44:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,0.00,
Total Counts,81.00,3256.00,78.00,1534.00,20.00,2251.00,53.00,1388.00,65.00,1179.00,85.00,4363.00,

 14:45:00
Interval Count,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3360.00,78.00,1534.00,20.00,2251.00,53.00,1388.00,65.00,1179.00,85.00,4363.00,

 14:45:31
Interval Count,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,140.00,0.00,117.00,
Total Counts,81.00,3360.00,78.00,1534.00,20.00,2262.00,53.00,1388.00,65.00,1319.00,85.00,4480.00,

 14:46:01
Interval Count,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,118.00,0.00,0.00,
Total Counts,81.00,3360.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,65.00,1437.00,85.00,4480.00,

 14:46:31
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,69.00,
Total Counts,81.00,3360.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,65.00,1475.00,85.00,4549.00,

 14:47:00
Interval Count,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,
Total Counts,81.00,3389.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,66.00,1475.00,85.00,4559.00,

 14:47:31
Interval Count,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,
Total Counts,81.00,3410.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,66.00,1475.00,85.00,4574.00,

 14:48:01
Interval Count,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,60.00,
Total Counts,81.00,3594.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,66.00,1484.00,85.00,4634.00,

 14:48:31
Interval Count,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,0.00,62.00,
Total Counts,81.00,3658.00,78.00,1534.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4696.00,

 14:49:01
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,81.00,3658.00,78.00,1537.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4699.00,

 14:49:31
Interval Count,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3658.00,78.00,1542.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4699.00,

 14:50:01
Interval Count,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3658.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4699.00,

 14:50:31
Interval Count,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3708.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4699.00,

 14:51:01
Interval Count,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,81.00,3730.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4700.00,

 14:51:31
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,
Total Counts,81.00,3730.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,66.00,1626.00,85.00,4765.00,

 14:52:01
Interval Count,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,81.00,3790.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,85.00,4765.00,

 14:52:31
Interval Count,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3808.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,85.00,4765.00,

 14:53:01
Interval Count,4.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,
Total Counts,85.00,3893.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,85.00,4791.00,

 14:53:31
Interval Count,0.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,65.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,86.00,4856.00,

 14:54:01
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,86.00,4856.00,

 14:54:31
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,86.00,4908.00,

 14:55:01
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,86.00,5026.00,

 14:55:31
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,87.00,5029.00,

 14:56:01
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,85.00,4090.00,78.00,1548.00,20.00,2340.00,53.00,1388.00,67.00,1626.00,87.00,5029.00,

 14:56:31
