,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 11:46:05
,     Stop Time: ~1/7/2018 12:46:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,1863.00,51.00,296.00,917.00,0.00,0.00,33.00,4754.00,321.00,4467.00,87.00,2251.00,

 12:28:06
Interval Count,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1866.00,51.00,296.00,917.00,0.00,0.00,33.00,4754.00,321.00,4467.00,87.00,2251.00,

 12:28:36
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,3.00,0.00,
Total Counts,1868.00,51.00,296.00,917.00,0.00,0.00,33.00,4754.00,330.00,4467.00,90.00,2251.00,

 12:29:06
Interval Count,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,33.00,144.00,1.00,0.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,33.00,4754.00,363.00,4611.00,91.00,2251.00,

 12:29:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,4754.00,363.00,4611.00,91.00,2251.00,

 12:30:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,4754.00,363.00,4611.00,91.00,2251.00,

 12:30:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,69.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,4767.00,363.00,4611.00,91.00,2320.00,

 12:31:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,0.00,0.00,0.00,49.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,4880.00,363.00,4611.00,91.00,2369.00,

 12:31:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,6.00,3.00,15.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,4981.00,363.00,4617.00,94.00,2384.00,

 12:32:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,
Total Counts,1868.00,51.00,296.00,927.00,0.00,0.00,40.00,5046.00,363.00,4617.00,94.00,2384.00,

 12:32:36
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,184.00,0.00,0.00,1.00,29.00,
Total Counts,1868.00,53.00,296.00,927.00,0.00,0.00,40.00,5230.00,363.00,4617.00,95.00,2413.00,

 12:33:06
Interval Count,4.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,0.00,17.00,
Total Counts,1872.00,53.00,296.00,927.00,0.00,0.00,40.00,5286.00,363.00,4617.00,95.00,2430.00,

 12:33:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,0.00,0.00,0.00,
Total Counts,1872.00,53.00,296.00,927.00,0.00,0.00,40.00,5286.00,577.00,4617.00,95.00,2430.00,

 12:34:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,241.00,0.00,0.00,0.00,
Total Counts,1872.00,53.00,296.00,927.00,0.00,0.00,40.00,5369.00,818.00,4617.00,95.00,2430.00,

 12:34:36
Interval Count,60.00,3.00,0.00,0.00,0.00,0.00,0.00,160.00,241.00,0.00,2.00,0.00,
Total Counts,1932.00,56.00,296.00,927.00,0.00,0.00,40.00,5529.00,1059.00,4617.00,97.00,2430.00,

 12:35:06
