,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 13:24:05
,     Stop Time: ~10/29/2017 14:24:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,50.00,6986.00,101.00,2737.00,31.00,1981.00,62.00,2304.00,73.00,1634.00,10.00,8041.00,

 14:08:07
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,
Total Counts,50.00,6986.00,101.00,2737.00,31.00,1981.00,62.00,2304.00,73.00,1634.00,10.00,8114.00,

 14:08:37
Interval Count,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,81.00,
Total Counts,50.00,6986.00,101.00,2737.00,31.00,2008.00,62.00,2304.00,73.00,1634.00,10.00,8195.00,

 14:09:07
Interval Count,0.00,6.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,50.00,6992.00,101.00,2737.00,31.00,2076.00,62.00,2304.00,73.00,1634.00,10.00,8195.00,

 14:09:37
Interval Count,0.00,0.00,0.00,20.00,0.00,110.00,0.00,0.00,0.00,0.00,0.00,53.00,
Total Counts,50.00,6992.00,101.00,2757.00,31.00,2186.00,62.00,2304.00,73.00,1634.00,10.00,8248.00,

 14:10:07
Interval Count,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,21.00,
Total Counts,50.00,6992.00,101.00,2757.00,31.00,2200.00,62.00,2304.00,73.00,1634.00,10.00,8269.00,

 14:10:37
Interval Count,0.00,5.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,
Total Counts,50.00,6997.00,101.00,2764.00,31.00,2200.00,62.00,2304.00,73.00,1634.00,10.00,8358.00,

 14:11:07
Interval Count,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,
Total Counts,50.00,6997.00,101.00,2772.00,31.00,2200.00,62.00,2304.00,73.00,1634.00,10.00,8463.00,

 14:11:37
Interval Count,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,
Total Counts,50.00,6997.00,101.00,2776.00,31.00,2200.00,62.00,2304.00,73.00,1634.00,10.00,8469.00,

 14:12:07
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,
