,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,286.00,868.00,44.00,30.00,31.00,26.00,

 15:46:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,289.00,868.00,44.00,30.00,31.00,26.00,

 15:46:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,289.00,868.00,44.00,30.00,31.00,26.00,

 15:47:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,289.00,868.00,44.00,30.00,31.00,26.00,

 15:47:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,289.00,868.00,44.00,30.00,31.00,26.00,

 15:48:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,63.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:48:51
Interval Count,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,216.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:49:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,216.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:49:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,216.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:50:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,216.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:50:51
Interval Count,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,217.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:51:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,217.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:51:51
Interval Count,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:52:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:52:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:53:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:53:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:54:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,352.00,869.00,44.00,30.00,31.00,26.00,

 15:54:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,869.00,44.00,30.00,31.00,26.00,

 15:55:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:55:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:56:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:56:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:57:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:57:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:58:21
